Profit,Entry Name,H1,L1,O1,C1,V1,HiLo1,H2,L2,O2,C2,V2,HiLo2,H3,L3,O3,C3,V3,HiLo3,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
0,R1 Sell,1.5924,1.5922,1.5924,1.5924,70,1.59225,1.5928,1.5924,1.5926,1.5924,14,1.592225,1.5926,1.5923,1.5925,1.5926,52,1.592075,1,0.0006,8.988355167,33.83333333,0.000552725,0,5.691768192,2.46E-05,1,53.03798457,0,-0.174,-28149,5.691768192,0.2,1,55.10907082,90,0,61.66809639,34500,0,52.01861588,-36.36363636,1.089285714,1,9.940381209,0.602561239,0,9.14667852,Friday
0,R1 Buy,1.5939,1.5923,1.5938,1.5931,1447,1.59395,1.594,1.5923,1.593,1.594,1738,1.594425,1.5936,1.5925,1.5932,1.5931,1321,1.59505,0,-0.0044,-5.944461594,-115.1607188,0.001408914,0,29.57653915,-0.000287912,1,44.84932385,1,-0.177,-29712,29.57653915,-0.166666667,1,59.2392605,20,1,47.23400302,104500,0,36.1245631,-88.4057971,0.95,1,-18.5408678,0.017070272,0,31.14383643,Friday
0,R1 Sell,1.5887,1.5879,1.5883,1.5886,75,1.587925,1.5888,1.588,1.5885,1.5884,151,1.588575,1.5885,1.588,1.588,1.5885,72,1.588525,1,1.00E-04,5.477516231,-35.74572988,0.001054411,1,12.45111514,-0.000105055,0,50.53301124,0,-0.093,-45651,12.45111514,-0.666666667,1,50.04216835,0,0,47.90647768,21500,1,60.67650568,-72.97297297,1.083969466,0,0.802873136,0.309199254,1,14.56358706,Monday
0,R1 Sell,1.5901,1.5887,1.5895,1.5891,865,1.588975,1.5906,1.5894,1.5902,1.5895,584,1.5891,1.5902,1.5883,1.5896,1.5902,694,1.589075,0,0.0004,-1.657371216,-14.73684211,0.001039135,0,15.03006004,6.64E-05,1,48.93510249,1,-0.092,-45650,15.03006004,0.063829787,0,57.87025638,70,0,60.98533345,91500,1,54.94955609,-65.51724138,0.993103448,0,-1.106353359,0.129378722,1,19.13952691,Monday
0,R1 Buy,1.5899,1.5888,1.5897,1.5891,341,1.5902,1.5899,1.5889,1.5898,1.5896,272,1.59035,1.5906,1.5898,1.5903,1.5899,335,1.590575,0,-0.0007,-5.305886282,-115.9509202,0.001267166,1,12.57567508,-7.03E-06,0,47.13167974,1,-0.02,-44267,12.57567508,-0.65,0,59.65094401,40,1,73.7350465,164500,0,50.41425369,-78.26086957,1.01242236,1,-7.843250408,0.025864293,0,16.32933282,Monday
1,R1 Buy,1.5956,1.594,1.594,1.5948,882,1.595475,1.5951,1.5939,1.5943,1.594,588,1.59545,1.5956,1.5938,1.5953,1.5943,997,1.595525,0,-0.0003,-2.538256929,-71.31782946,0.001132034,0,31.062176,-0.000105714,1,51.81632366,1,-0.088,-39241,31.062176,-0.611111111,1,55.16643146,0,1,64.59685711,104500,0,58.64046932,-68.75,0.960227273,0,-9.828155747,0.250967767,0,41.65940836,Tuesday
0,R1 Buy,1.5963,1.5953,1.596,1.5953,589,1.59675,1.5966,1.5958,1.5964,1.596,442,1.5972,1.5968,1.596,1.5961,1.5963,567,1.5961,0,0.0002,-14.3197997,-16.61779081,0.001245202,1,27.05716374,0.00012,0,49.36064061,1,0.139,-36883,27.05716374,0.304347826,0,49.75551813,60,1,56.89493958,130000,0,49.26360317,-65.11627907,1.051813472,1,-3.605695613,0.151842127,0,34.47141728,Tuesday
0,R1 Buy,1.5926,1.5919,1.5921,1.5923,77,1.5926,1.5926,1.592,1.5923,1.5921,42,1.592675,1.5924,1.5917,1.5922,1.5922,108,1.592825,0,-0.0006,3.921282799,-95.38106236,0.00071127,0,15.70785944,-0.000142857,1,44.86240955,0,-0.379,-35757,15.70785944,-0.647058824,1,62.92847113,0,1,48.29387148,80000,0,45.13106495,-76.92307692,0.88172043,1,-23.69093206,0.113670894,0,18.44223593,Wednesday
0,R1 Buy,1.5946,1.5924,1.5936,1.5924,974,1.59375,1.5942,1.5929,1.593,1.5935,1224,1.593525,1.5934,1.5918,1.5919,1.5931,1079,1.5938,0,-0.0005,-11.76902513,-5.381047051,0.001222508,1,14.80431462,3.36E-05,0,46.21522884,1,-0.054,-35217,14.80431462,0.0625,1,46.896982,30,1,50.27821585,103000,0,51.02883866,-75,0.969387755,1,-7.601890944,0.134137938,0,17.73812906,Wednesday
0,R1 Buy,1.5944,1.5925,1.5937,1.5938,1199,1.59525,1.5954,1.5929,1.5953,1.5936,1573,1.59545,1.5956,1.5945,1.5946,1.5953,577,1.595425,0,0.0007,13.55635545,-89.26553672,0.001690135,1,12.32974606,2.48E-05,0,48.81144749,0,-0.029,-33291,12.32974606,-0.147540984,0,52.79573414,20,1,65.59671243,133000,0,43.21791823,-68.62745098,1.024305556,1,-6.082139431,0.162265326,0,18.85370444,Wednesday
1,R1 Buy,1.5956,1.594,1.5942,1.5952,1481,1.596225,1.5949,1.5928,1.594,1.5942,3010,1.5969,1.5967,1.5932,1.5963,1.594,2482,1.5975,0,0.0004,1.485578014,-7.221525164,0.001829149,1,12.5458478,8.04E-05,1,52.25310849,1,-0.084,-32625,12.5458478,-0.115384615,1,55.83828586,60,1,56.99297927,153000,0,45.55895751,-53.44827586,1.01532567,1,-1.802213996,0.338165667,0,16.99757762,Wednesday
0,R1 Buy,1.6017,1.6012,1.6015,1.6015,154,1.60165,1.6016,1.6014,1.6015,1.6015,45,1.60165,1.6017,1.601,1.6016,1.6015,83,1.60165,0,-0.001,10.24787036,-44.41287879,0.000932906,0,12.01863509,-4.15E-05,1,54.25364317,0,-0.174,-20873,12.01863509,-0.538461538,0,58.05834595,30,1,60.62272477,73000,0,54.76267878,-61.9047619,0.923076923,0,-1.48959599,0.138186588,0,16.7184506,Thursday
1,R1 Buy,1.6027,1.6017,1.6027,1.6024,2065,1.6034,1.603,1.6019,1.6029,1.6027,1432,1.60395,1.6036,1.6024,1.6024,1.603,986,1.60435,0,0,-14.49950858,-93.69602763,0.001323286,1,27.3284259,3.54E-05,0,48.51945473,1,-0.032,-22619,27.3284259,0.023255814,1,46.82011015,30,1,62.94009844,154500,0,42.0448081,-79.41176471,0.994413408,1,-8.00450416,0,0,31.1390126,Thursday
0,R1 Buy,1.6072,1.6064,1.6069,1.607,209,1.607275,1.6072,1.6066,1.6071,1.6068,193,1.6074,1.6073,1.6067,1.6069,1.607,128,1.60765,0,0.0019,26.97266778,2.872777017,0.000957863,1,37.6939512,8.42E-05,0,57.68829788,0,0.141,-2978,37.6939512,0.12,0,60.35810475,50,1,48.41351894,11500,1,52.53126971,-35.29411765,1.090163934,1,9.292015127,0.358351638,0,38.02360324,Friday
