Profit,Entry Name,H1,L1,O1,C1,V1,HiLo1,H2,L2,O2,C2,V2,HiLo2,H3,L3,O3,C3,V3,HiLo3,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
1,R1 Sell,132.16,131.83,132.05,131.93,1949,131.68,132.16,131.68,131.78,132.06,2575,131.5775,131.81,131.64,131.76,131.8,939,131.8075,1,-0.37,9.478233969,4.185351271,0.227846144,1,28.09107376,-0.038373626,0,46.00758684,1,-0.02,-17551,28.09107376,-0.267326733,0,33.62714285,0,0,46.19984048,141500,0,56.69558028,-50.96153846,0.877840909,1,-4.677003337,0.700298147,0,31.39172821,Wednesday
0,R1 Sell,131.34,131.26,131.34,131.28,150,131.26,131.34,131.28,131.32,131.33,120,131.255,131.32,131.26,131.28,131.32,180,131.2375,1,-0.82,-60.4345093,-23.76431325,0.219990069,1,20.06404626,-0.027032967,0,42.70420752,0,-0.179,-64090,20.06404626,0.692307692,1,46.02325812,0,0,30.97908795,230000,1,61.29842223,-80.34188034,0.758490566,1,-15.67569355,0.400973633,0,25.38157122,Wednesday
1,R1 Buy,132.17,131.73,131.83,132.07,7114,132.0875,131.84,131.56,131.64,131.81,2423,132.09,132.14,131.58,132.14,131.66,5942,132.23,0,-0.16,-3.102123601,-79.69380654,0.238147499,0,21.8989203,-0.036175824,1,52.48133742,1,-0.109,-55710,21.8989203,-0.306122449,1,62.11515523,30,1,47.52473225,151500,0,54.64099491,-48.48484848,0.902017291,1,-11.11936146,0.388818409,0,25.76255055,Thursday
1,R1 Sell,130.17,129.83,130.15,129.99,813,129.76,130.17,129.78,129.8,130.15,600,129.72,129.87,129.69,129.85,129.79,604,129.915,1,-0.27,3.007290535,-15.72769953,0.209804584,1,20.55051685,-0.02367033,0,49.09289791,1,-0.203,-136045,20.55051685,-0.381443299,0,53.3338154,0,0,57.94330665,111500,1,48.20316004,-54.28571429,0.879256966,1,-1.616075033,0.435737169,1,29.29546052,Friday
1,R1 Sell,129.78,129.24,129.7,129.34,2914,129.1775,129.77,129.26,129.26,129.69,2504,129.1975,129.4,129.12,129.21,129.25,1517,129.165,0,-0.65,5.726807851,13.86907592,0.32268909,1,29.41267208,-0.017648352,0,43.73494358,1,0.065,-136957,29.41267208,-0.01986755,0,34.89534883,100,0,56.11295091,144500,0,45.33300855,-63.63636364,0.885338346,1,-6.435353571,0.640362615,0,29.37691613,Friday
1,R1 Buy,128.94,128.82,128.86,128.92,138,128.985,128.97,128.84,128.94,128.86,138,129.0125,129.01,128.89,128.99,128.94,135,129.0425,0,-0.6,-15.66061193,-86.13161864,0.198520149,0,18.16596358,-0.038659341,1,45.28612223,0,-0.208,-126942,18.16596358,-0.705882353,0,55.66017722,0,1,40.93999617,24500,0,45.88224163,-86.48648649,0.756880734,1,-22.97282898,0.13955217,0,25.32574173,Monday
1,R1 Buy,129.44,129.31,129.42,129.37,185,129.53,129.45,129.23,129.25,129.4,316,129.5925,129.61,129.21,129.6,129.24,652,129.655,0,-0.06,-0.741336412,-95.2970297,0.160135364,1,23.10376334,-0.005604396,1,50.55569172,1,-0.092,-125872,23.10376334,-0.62962963,1,70.10784315,50,1,61.13968119,114500,0,49.84055436,-67.34693878,1.012195122,1,-7.408962559,0.194051618,0,27.95885306,Monday
0,R1 Buy,129.64,129.55,129.59,129.61,396,129.7275,129.64,129.53,129.6,129.58,457,129.8225,129.84,129.57,129.73,129.6,944,129.8925,0,-0.05,-15.63977179,-35.22012579,0.175781914,1,16.81299979,0.007582418,0,50.98621119,1,0.097,-125937,16.81299979,0.323943662,1,53.94421086,60,1,56.6344873,164500,0,51.02309658,-69.49152542,0.984790875,1,-4.135288684,0.197556883,0,22.9743568,Monday
0,R1 Buy,129.7,129.57,129.66,129.64,184,129.805,129.69,129.61,129.62,129.62,82,129.8575,129.92,129.55,129.86,129.62,357,129.91,0,0.03,5.92187212,-145.1550388,0.157737656,0,20.50207212,-0.01443956,1,46.3890265,0,-0.114,-123619,20.50207212,-0.842105263,0,54.8151056,10,1,58.00842493,10000,0,58.37877433,-80,1.009615385,1,-20.80389169,0.055869207,0,22.518171,Tuesday
1,R1 Buy,129.98,129.78,129.79,129.96,319,130.02,130.05,129.73,130.02,129.8,410,130,130.08,129.77,129.93,130.02,451,129.825,1,0.02,6.13376621,67.41204532,0.176835676,1,19.11226139,0.01156044,0,56.19344833,0,0.013,-123018,19.11226139,0.081081081,1,60.64096755,80,1,57.38810608,24500,1,58.52633832,-22.64150943,0.958506224,0,11.6251544,0.719319526,1,24.59770476,Tuesday
0,R1 Buy,130.87,130.68,130.71,130.82,323,130.835,130.83,130.67,130.83,130.7,567,130.8425,130.83,130.65,130.74,130.83,325,130.8675,1,0.22,1.549512031,55.26315789,0.141086437,1,47.61725124,0.015098901,0,63.83003133,1,0.109,-120878,47.61725124,-0.018867925,0,80.4835709,50,0,62.35626451,103000,1,71.6941976,-28.94736842,1.076142132,1,18.77063917,0.255927894,0,53.73450488,Tuesday
0,R1 Buy,130.97,130.87,130.93,130.91,1897,131.08,131.15,130.86,131.13,130.94,1483,130.9175,131.18,131.01,131.01,131.12,780,130.9075,0,0.14,-5.000502297,-0.494350282,0.163469821,1,43.32218437,0.017186813,0,56.65516338,1,0.029,-123485,43.32218437,0.379310345,1,68.75980092,30,0,56.49013544,130000,1,60.58650852,-47.45762712,1.049618321,0,9.046178432,0,0,53.80858912,Tuesday
0,R1 Buy,131.35,131.21,131.24,131.32,153,131.33,131.33,131.13,131.21,131.26,277,131.3525,131.27,131.18,131.24,131.2,284,131.39,0,0.16,12.89011448,-15.7790927,0.160428146,1,21.60945214,0.00243956,1,58.38645882,0,-0.097,-125443,21.60945214,0.176470588,1,78.80084225,30,1,54.65526692,30000,0,60.29859574,-48.71794872,1.036363636,1,7.244922845,0.28032515,0,20.42386148,Wednesday
0,R1 Buy,131.45,131.36,131.43,131.38,94,131.51,131.54,131.43,131.52,131.43,106,131.41,131.55,131.47,131.47,131.53,179,131.385,0,-0.1,-6.44461623,20.14888337,0.137991547,1,25.21509775,0.007802198,0,56.49191736,0,-0.039,-125178,25.21509775,0.052631579,0,75.73240191,80,1,51.15185266,43000,1,57.64188726,-40.47619048,0.969135802,0,13.43095246,0.202459291,0,28.77140018,Wednesday
0,R1 Buy,131.4,131.32,131.39,131.35,232,131.4525,131.46,131.33,131.34,131.37,188,131.4925,131.45,131.33,131.42,131.34,164,131.5075,0,-0.03,-25.27108353,-143.2705718,0.111591694,0,20.74991113,-0.016659341,1,47.37891747,1,-0.24,-125246,20.74991113,-0.581395349,1,59.84763866,0,1,53.38145561,80000,0,50.24629126,-90.90909091,0.97037037,1,-25.2688741,0.038028476,0,27.97647824,Wednesday
0,R1 Buy,131.29,130.8,131.19,131.25,10516,131.3925,131.41,131.05,131.17,131.19,4988,131.4375,131.31,130.93,131.04,131.17,4217,131.395,1,-0.06,-2.000210915,-76.17370892,0.373379637,0,17.17248559,-0.054241758,1,46.66582308,1,-0.209,-133450,17.17248559,-0.404878049,1,48.25264016,10,1,53.02523848,170000,0,50.04718141,-67.76315789,0.930194805,0,-12.20569899,0.270623245,0,22.92163408,Wednesday
0,R1 Buy,131.6,131.51,131.58,131.57,145,131.6225,131.6,131.53,131.58,131.59,152,131.63,131.64,131.53,131.61,131.58,104,131.65,0,-0.05,19.01144195,-105,0.127513788,0,15.50491284,-0.015582418,1,50.55040408,0,-0.299,-131372,15.50491284,-0.75,0,51.800876,10,1,58.45824267,70000,0,44.28769563,-80.64516129,0.917241379,1,-15.27972596,0,0,23.55390471,Thursday
1,R1 Buy,131.58,131.43,131.52,131.49,575,131.5325,131.58,131.36,131.37,131.51,495,131.5225,131.48,131.31,131.4,131.36,442,131.52,1,-0.12,-25.56586978,-36.56871475,0.132274459,0,16.79026885,-0.017516484,1,47.65086601,1,-0.127,-132230,16.79026885,-0.531914894,1,36.88818562,10,1,54.15245596,94500,0,42.8794687,-55,0.922155689,0,-13.05449102,0.503777693,0,24.27164767,Thursday
0,R1 Sell,130.82,130.74,130.76,130.77,165,130.685,130.78,130.73,130.76,130.77,63,130.6475,130.78,130.71,130.72,130.76,225,130.6,1,0.02,-8.583579084,74.11836063,0.2267497,1,26.33411961,0.007802198,1,46.40712118,0,-0.042,-169745,26.33411961,0.15942029,1,37.2301327,0,0,45.02052378,230000,0,62.4173301,-31.46067416,1.058219178,1,7.764075112,1,0,33.42175138,Thursday
1,R1 Sell,130.17,129.9,130.11,130.07,1367,129.915,130.17,130,130.03,130.1,1653,129.865,130.1,129.92,129.95,130.02,742,129.8125,1,0.29,15.89436454,109.1141397,0.212421923,1,33.06541723,0.019186813,0,47.07393028,0,0.064,-172223,33.06541723,0.172413793,0,32.87221041,100,1,64.04900682,141500,0,48.95708538,-17.54385965,1.064724919,1,5.708852745,0.963727645,0,39.1544251,Friday
1,R1 Sell,128.52,128.39,128.5,128.41,144,128.3925,128.56,128.44,128.44,128.5,188,128.3675,128.57,128.4,128.54,128.43,190,128.3725,0,-0.46,-15.3966585,-47.26605505,0.267089132,1,26.43346501,-0.037208791,0,41.544949,0,-0.102,-217540,26.43346501,0.015384615,1,52.5117548,0,0,46.84028927,230000,1,44.62644827,-74.03846154,0.891061453,0,-13.84860924,0.443322992,0,28.79680472,Friday
0,R1 Sell,129.24,129.18,129.24,129.19,46,129.135,129.24,129.12,129.16,129.23,195,129.1175,129.19,129.13,129.19,129.14,28,129.2225,0,-0.16,-13.04207023,-37.99910274,0.112493433,1,10.2364037,-0.006461538,0,49.48271189,0,0.049,-190878,10.2364037,0.058823529,1,45.77099224,30,0,56.55491291,53000,1,50.84587013,-72.4137931,0.88372093,1,-5.858738918,0.376897575,1,17.04824282,Wednesday
0,R1 Sell,129.14,129.09,129.13,129.1,65,129.075,129.16,129.1,129.11,129.14,70,129.0725,129.11,129.05,129.06,129.1,79,129.115,0,-0.18,-12.52708457,-37.81676413,0.093149769,1,12.09963609,-0.007164835,0,45.72813196,1,-0.158,-190968,12.09963609,-0.176470588,1,33.56849012,20,0,52.86672983,73000,1,43.95374484,-71.42857143,0.840707965,1,-12.23441825,0.313862559,1,17.9038972,Wednesday
1,R1 Sell,129.07,128.95,128.98,129.07,774,128.95,129.04,128.97,129.01,128.97,295,129.0675,129.04,128.97,129.04,129.01,232,129.0925,1,-0.01,11.48285403,-50.65243179,0.102788422,1,18.72018769,-0.007384615,0,47.84803989,1,-0.104,-191066,18.72018769,-0.368421053,0,30.6761407,20,0,62.17889097,91500,1,43.28240336,-36,0.899224806,1,-10.97930202,0.908603109,1,21.02133429,Wednesday
0,R1 Sell,128.51,128.3,128.41,128.32,1401,128.265,128.49,128.35,128.48,128.42,1638,128.2025,128.56,128.31,128.31,128.47,4407,128.075,1,-0.15,10.39719266,78.62714509,0.18482584,1,44.24139422,0.003186813,1,42.88367172,1,0.097,-189452,44.24139422,-0.04,0,31.01687461,80,1,50.3640422,150000,0,45.31776936,-33.33333333,0.985294118,1,0.352509413,0.762459581,0,48.98700599,Wednesday
0,R1 Sell,128.5,128.09,128.48,128.18,5050,128.0975,128.59,128.06,128.09,128.48,6299,128.1625,128.32,127.94,128.3,128.09,6088,128.47,0,-0.18,3.96283813,-2.854743913,0.235824479,0,40.35627936,0.005384615,0,42.52156086,1,-0.042,-194291,40.35627936,-0.06122449,0,35.6759638,90,1,57.825811,154500,1,46.78960842,-54.66666667,0.982608696,0,-6.173571343,0.644586681,0,47.62918715,Wednesday
1,R1 Buy,129.9,129.85,129.85,129.87,104,129.8975,129.87,129.81,129.87,129.84,70,129.9075,129.92,129.86,129.87,129.87,42,129.92,1,0.04,-13.28966186,57.76330076,0.14819716,0,28.72960085,0.003934066,0,56.89198126,0,-0.033,-108308,28.72960085,-8.88E-14,0,48.29612974,30,0,68.93213054,50000,1,56.06552375,-50,1.087837838,0,5.198276978,0.498807474,0,30.7204473,Thursday
1,R1 Buy,129.81,129.68,129.7,129.73,561,129.7775,129.76,129.52,129.55,129.7,847,129.7975,129.64,129.49,129.61,129.56,532,129.8725,0,-0.47,-13.99301827,-66.99266504,0.172922618,0,26.54214916,-0.05167033,1,43.01441146,1,-0.099,-108069,26.54214916,-0.418604651,1,56.45055864,10,1,44.95233415,103000,0,57.18648125,-68.75,0.824427481,0,-26.61609617,0.244172723,0,37.26008691,Thursday
0,R1 Sell,129.94,129.81,129.81,129.9,185,129.7875,129.85,129.79,129.82,129.82,89,129.84,129.86,129.79,129.81,129.81,111,129.845,1,-0.04,14.51933483,31.54471545,0.138483279,1,13.60760126,-0.008373626,0,50.50925551,0,-0.099,-120494,13.60760126,0,1,53.77593248,10,0,62.61341615,80000,1,44.50951774,-43.90243902,0.943925234,0,-0.556855056,0.968333453,1,18.08543377,Friday
0,R1 Sell,130.37,130.16,130.28,130.28,1067,130.1225,130.3,130.05,130.12,130.29,1371,130.0975,130.35,130.13,130.33,130.13,687,130.07,1,0.03,18.3785672,47.47847478,0.194819411,0,22.6205868,-0.004791209,0,57.38877969,1,0.059,-114425,22.6205868,0.015384615,0,60.70134202,10,0,59.04171162,143000,0,55.82749529,-43.33333333,1.021052632,0,14.34958361,0.281666637,1,25.83305661,Friday
0,R1 Buy,129.76,129.4,129.43,129.62,6852,129.8625,129.65,129.34,129.58,129.43,8843,130.015,129.76,129.5,129.67,129.58,4468,130.1775,0,-0.7,-18.32859831,-129.4501304,0.243159808,0,24.47785734,-0.050395604,1,40.33910609,1,-0.246,-127410,24.47785734,-0.428571429,1,58.32487791,60,1,46.26539814,153000,0,48.51920628,-73.33333333,0.786516854,1,-34.91157102,0.234623942,0,32.18509944,Friday
0,R1 Sell,130.67,130.09,130.22,130.21,17953,129.9225,130.24,129.98,130,130.22,5853,129.91,130.08,129.81,129.96,129.99,5047,129.88,1,0.08,-16.54171241,106.1226701,0.310444116,0,16.99652887,0.018461538,0,55.50386144,1,0.235,-142231,16.99652887,0.36318408,0,50.39338673,100,0,51.59246598,173000,0,59.94749004,-34.58646617,0.992292871,1,15.08430036,0.904060565,0,23.73117255,Friday
1,R1 Sell,129.84,129.74,129.8,129.77,140,129.6775,129.82,129.69,129.73,129.81,131,129.6825,130.09,129.55,130.04,129.73,574,129.66,1,0.14,-9.289721782,86.40059128,0.236867711,0,13.74287853,0.015274725,0,50.27076925,0,0.02,-157337,13.74287853,0.540983607,1,46.37131001,80,0,46.84633704,4500,0,54.41820056,-45.71428571,1.095435685,0,7.026669157,0.83773003,0,16.8612602,Monday
1,R1 Sell,129.19,129.13,129.14,129.19,75,129.1125,129.18,129.11,129.16,129.15,91,129.095,129.19,129.11,129.17,129.16,109,129.065,1,-0.34,-5.648763783,-25.15670706,0.15957175,1,27.41238568,-0.016461538,0,40.49994344,0,-0.171,-158964,27.41238568,-0.333333333,1,28.42495204,20,0,44.71134124,51500,1,46.2126888,-61.01694915,0.828125,1,-20.09601863,0.865730005,0,26.92978253,Monday
