Profit,Entry Name,H1,L1,O1,C1,V1,HiLo1,H2,L2,O2,C2,V2,HiLo2,H3,L3,O3,C3,V3,HiLo3,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
0,R1 Buy,6382,6372,6373,6372,1376,6380.75,6375,6365,6366,6374,1482,6383.5,6381,6366,6375,6366,2297,6393,0,48,-4.979958695,56.99053313,18.33501877,1,24.36321412,5.03956044,0,58.36794504,1,0.277,-12557,24.36321412,0.651376147,0,58.1243618,50,1,36.76576033,124500,1,50.30486213,-34.45378151,1.156050955,1,18.14162003,0.5973785,1,26.60941378,Wednesday
1,R1 Buy,6351,6331,6343,6347,5314,6352.25,6344,6328,6337,6343,2864,6358.75,6342,6331,6337,6337,4413,6367,0,-19,4.928808249,-106.580306,18.14051238,0,19.632181,-2.830769231,1,46.59799809,0,-0.175,-10358,19.632181,-0.493333333,1,51.60155553,0,1,52.3690052,154500,0,49.58565826,-67.79661017,0.85106383,1,-21.99719751,0.225167367,0,26.83956019,Wednesday
0,R1 Sell,6375,6362,6373,6367,4135,6364.25,6376,6365,6369,6373,3393,6364.25,6378,6363,6371,6369,5550,6363.25,1,-3,7.979652182,41.31872471,17.03788856,0,15.93184986,1.182417582,1,53.33102823,1,0.11,-5767,15.93184986,0.490909091,0,50.6509973,70,0,54.63108548,173000,0,53.57854329,-31.57894737,0.975103734,1,12.63799092,0.758149195,0,22.11289606,Wednesday
1,R1 Buy,6415,6399,6403,6406,4653,6408.75,6403,6375,6381,6403,3993,6409.5,6398,6380,6389,6382,4406,6412.5,1,7,-21.77662344,-6.140350877,18.09790017,1,27.45164687,-1.112087912,1,54.20479781,1,-0.076,8674,27.45164687,-0.346938776,1,60.67839522,0,1,56.92389572,170000,0,46.60017291,-49.18032787,1.080291971,1,1.695959628,0.352151674,0,26.31460841,Thursday
0,R1 Sell,6445,6434,6435,6443,961,6427.25,6435,6427,6428,6435,342,6422.75,6430,6427,6430,6429,386,6419.25,1,24,37.48524572,235.7388316,8.858442572,0,16.42407422,1.189010989,0,65.97197022,0,0.333,18024,16.42407422,0.485714286,0,52.77088188,100,0,37.46077747,220000,0,60.22053901,-6.25,1.162790698,1,42.85102611,1,0,18.76660349,Friday
0,R1 Buy,6417,6395,6407,6415,4290,6416.25,6411,6399,6410,6406,1207,6419,6412,6403,6409,6410,790,6427.5,0,-11,39.62138652,-105.4528651,11.55352256,0,14.66157238,-0.835164835,1,46.51445983,1,-0.042,19657,14.66157238,-0.044776119,1,50.61151356,50,1,41.12033703,91500,0,36.74464497,-60,0.797297297,1,-18.88462353,0.249595097,0,17.24955593,Monday
0,R1 Buy,6451,6439,6444,6447,1457,6449.75,6450,6441,6447,6444,2182,6450.5,6447,6440,6445,6447,1258,6451.5,1,10,-17.52118533,-50.202977,14.92592796,1,26.17810601,-0.784615385,1,58.41954796,0,-0.091,26844,26.17810601,-0.333333333,0,45.28894205,0,0,49.61367475,153000,0,47.19512682,-77.77777778,1.075,1,17.08209335,0.140514371,0,29.48071403,Monday
1,R1 Buy,6471,6457,6466,6463,2333,6468.75,6469,6452,6457,6466,2726,6469.25,6464,6451,6454,6458,2407,6471,0,-1,1.045949311,-44.83775811,14.84368272,0,26.10455862,-1.112087912,1,55.48506418,1,-0.111,14953,26.10455862,-0.531914894,1,64.77644722,0,1,55.87841897,103000,0,59.98192855,-56.52173913,0.990049751,1,2.046301409,0.22590194,0,32.48360695,Thursday
1,R1 Buy,6524,6509,6520,6511,1554,6525.5,6525,6519,6523,6520,1107,6516.25,6527,6513,6517,6523,2106,6516.5,0,48,17.56786463,49.91087344,15.74962046,1,36.23946074,5.923076923,0,63.82248034,1,0.418,35712,36.23946074,0.622222222,0,62.97367007,40,1,35.93790856,124500,1,48.92284824,-30.6122449,1.221343874,1,33.79238684,0.506439649,1,39.93370894,Thursday
0,R1 Buy,6539,6523,6529,6525,5111,6551.75,6538,6523,6534,6529,5159,6560.25,6561,6532,6555,6533,4700,6564.75,0,10,-13.30753338,-81.62915327,16.38618976,1,36.76791492,0.626373626,0,50.53822825,1,-0.044,29470,36.76791492,-0.107692308,1,68.04065142,60,1,52.36622503,170000,0,53.27835712,-82.75862069,1.034632035,1,-11.23697719,0,0,36.96410092,Thursday
0,R1 Sell,6546,6533,6544,6537,940,6536.75,6546,6542,6546,6542,419,6535.75,6547,6538,6538,6546,577,6531.75,1,13,2.924539583,87.97336663,10.86644126,0,18.79286292,1.38021978,1,52.01445727,0,0.151,29821,18.79286292,0.166666667,0,54.58856904,80,0,52.52990701,220000,0,60.08473617,-34.48275862,1.137931034,0,20.21593617,0.555797296,0,24.7610131,Friday
0,R1 Sell,6490,6471,6489,6471,2997,6468.5,6494,6471,6479,6489,3510,6469,6482,6461,6471,6479,5050,6481,0,-57,2.179456066,-70.11111111,14.66479771,1,31.88190629,-5.942857143,0,32.115502,1,-0.171,31924,31.88190629,-0.603960396,0,46.87987874,10,0,31.97998243,94500,1,38.56434268,-88.37209302,0.86,1,-40.46463058,0.179470311,1,32.36031331,Monday
