Profit,Entry Name,H1,L1,O1,C1,V1,HiLo1,H2,L2,O2,C2,V2,HiLo2,H3,L3,O3,C3,V3,HiLo3,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
0,R1 Sell,2413.5,2412.5,2412.75,2413,49,2412.375,2413,2412.25,2412.5,2413,23,2412.3125,2413.5,2412.25,2412.75,2412.5,66,2412.25,1,1.75,9.200779727,112.9032258,1.24399045,0,13.8844549,0.116483516,0,55.06962138,0,0.373,61732,13.8844549,0.846153846,0,53.56293217,100,0,53.25168727,81500,0,49.75862212,-15.38461538,1.056603774,1,28.0938234,1,0,20.33136928,Thursday
0,R1 Buy,2432.25,2429.75,2431.25,2431,365,2431.8125,2431.75,2430,2431.5,2431.25,186,2431.625,2431.75,2430,2430,2431.25,259,2431.5625,1,3.5,-0.288367903,58.5829767,1.497944495,1,31.83567208,0.298351648,0,64.60525679,1,0.109,101620,31.83567208,0.555555556,1,59.46468757,100,1,48.6289698,91500,1,66.6307337,-21.73913043,1.13253012,1,33.60785728,0.578586915,1,28.96773236,Friday
0,R1 Buy,2430,2426.25,2426.25,2429.5,308,2429.9375,2429.5,2426,2429.25,2427,261,2430.375,2430,2427.25,2428.5,2429.25,157,2431.125,0,-1,1.62725802,-109.8724348,2.086045473,1,27.26648194,-0.201098901,1,51.62216235,1,-0.105,101636,27.26648194,-0.333333333,1,62.90774606,40,1,55.05699779,110000,0,54.44444418,-51.72413793,0.862903226,1,-12.83530513,0.367217333,0,33.88032157,Friday
0,R1 Buy,2411.25,2408,2410.25,2410.5,175,2411.75,2411.25,2409.75,2410.5,2410.25,24,2411.75,2412,2410.5,2411,2411,19,2410.5625,0,0,1.731606344,-32.00589971,1.970346898,1,11.41399061,0.134615385,0,49.0566308,1,0.018,84635,11.41399061,0.066666667,1,48.40281675,70,1,60.56195119,81500,1,41.21066903,-44.44444444,0.887640449,1,0.669764651,0.656773631,1,15.85998587,Monday
1,R1 Buy,2413.5,2408.75,2413.5,2409.75,185,2413.0625,2414.25,2411.5,2412.5,2413.5,142,2409.9375,2413.25,2410.5,2410.5,2413,78,2409.6875,0,1.25,8.432506151,-15.85279547,2.268623227,1,10.75238429,0.135164835,0,45.95638219,1,-0.058,84670,10.75238429,-0.19047619,1,56.00561444,90,1,57.16101643,90000,1,44.45043606,-72,1.008849558,1,3.111737292,0.131705544,1,15.73284518,Monday
1,R1 Buy,2438.25,2437.5,2437.5,2438.25,35,2438.3125,2438,2437.5,2437.75,2438,34,2438.4375,2438.5,2437.5,2438.25,2437.75,49,2438.9375,0,-1.25,-11.96202532,-99.6763754,1.78718716,1,10.41393733,-0.103846154,1,46.92984567,0,-0.221,103185,10.41393733,-0.454545455,0,53.95160136,0,1,58.57866327,34500,0,63.69522466,-76.92307692,0.983606557,1,-9.474867588,0.320302625,0,16.62386375,Wednesday
0,R1 Buy,2441.5,2440,2440.5,2441.5,93,2442.3125,2442,2440.25,2440.75,2440.5,124,2442.9375,2442.5,2440.75,2442.5,2440.75,99,2443.5,0,1,15.34084656,-126.4573991,1.558058208,1,20.31780537,-0.323076923,1,48.976807,0,-0.454,103659,20.31780537,-1,0,53.80032169,20,1,46.5569809,80000,0,40.43729311,-75,1,1,-19.87126915,0.173846814,0,23.41421111,Wednesday
1,R1 Buy,2441.25,2438.25,2439.75,2439,228,2439.9375,2440.75,2437.25,2438.5,2439.5,207,2439.4375,2439.5,2435.75,2436.25,2438.75,344,2440.4375,0,-4.25,-15.04812295,-45.84109249,2.370131295,0,20.71671178,-0.323626374,1,43.77895103,1,-0.258,102275,20.71671178,-0.15625,1,47.25969508,40,1,45.53309627,103000,1,57.13118081,-55.81395349,0.853146853,0,-19.12455151,0.401213158,0,30.28599707,Wednesday
0,R1 Buy,2467.5,2466.5,2466.5,2467.25,51,2467.8125,2467.75,2466.5,2467.25,2467.25,79,2467.6875,2467.75,2466.75,2467,2467.5,28,2467.6875,1,-1.25,-16.73965607,-22.22222222,2.134550359,1,47.25444675,0.020879121,0,60.62928629,0,-0.095,188318,47.25444675,0.125,0,62.54302444,70,0,55.27030453,24500,1,54.5909394,-45,1.034883721,0,11.29002669,0.203530017,0,51.09757268,Thursday
0,R1 Buy,2477.75,2476.25,2476.75,2477.75,71,2477.9375,2477.75,2475.5,2477.5,2477,207,2478.25,2478,2476.75,2478,2477.25,70,2477.3125,1,5.25,30.32215995,50.90909091,1.570527936,1,22.20704343,0.363736264,0,58.33064999,1,0.226,156763,22.20704343,0.24137931,1,62.99868803,60,1,39.70995795,83000,1,49.77486396,-18.51851852,1.168831169,1,32.23806583,0.869907553,1,35.18977053,Friday
