Profit,Entry Name,H1,L1,O1,C1,V1,HiLo1,H2,L2,O2,C2,V2,HiLo2,H3,L3,O3,C3,V3,HiLo3,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
0,R1 Sell,1454.2,1454.2,1454.2,1454.2,2,1453.45,1454.1,1454.1,1454.1,1454.1,2,1453.05,1454.1,1452.3,1454.1,1454.1,10,1452.55,1,-1,-19.25051024,31.68392789,1.413930624,1,47.65947465,-0.085494505,0,44.22094066,0,-0.092,8668,47.65947465,-0.219512195,1,35.27496285,0,1,50.29089099,10000,0,50.5059868,-44.26229508,0.913043478,1,-2.700171266,1,0,50.12363297,Thursday
0,R1 Sell,1455.4,1454.9,1454.9,1455,28,1454.225,1454.6,1454.5,1454.5,1454.6,3,1454.025,1454.3,1453.3,1454.2,1453.3,8,1454.175,1,0.1,-19.58501339,183.5518474,1.337028273,1,47.18832605,0.156483517,0,49.42543823,0,0.008,8691,47.18832605,-0.161290323,1,37.80031057,100,1,57.35733129,21500,0,54.502344,-8.695652174,0.899521531,1,7.890413491,1,0,49.9303141,Thursday
1,R1 Sell,1456.3,1456.1,1456.2,1456.1,5,1456.025,1456.5,1456.2,1456.2,1456.5,2,1455.85,1455.8,1455.8,1455.8,1455.8,10,1455.675,1,-1.8,-1.030927835,-7.097591889,0.524109408,1,18.77374606,-0.102417582,0,51.04934831,0,-0.403,8729,18.77374606,-0.125,1,52.66904995,0,0,33.53614863,131500,1,47.14092594,-73.07692308,0.523809524,1,3.430955966,0.33425987,1,21.75689799,Thursday
1,R1 Sell,1456.6,1455,1455,1455.1,286,1453.175,1455,1452.9,1453,1455,40,1452.9,1453.5,1452.4,1452.9,1453.5,48,1454.35,1,-0.4,-50.08972268,46.15384615,0.893242134,1,24.13102422,-0.16043956,0,49.35171783,1,0.296,8918,24.13102422,-0.114285714,0,27.29042277,100,0,42.52059148,153000,0,46.30920459,-35.71428571,0.875968992,1,-3.845952608,0.747181925,1,26.68010853,Thursday
1,R1 Sell,1443,1442.8,1442.8,1443,2,1442.775,1442.7,1442.7,1442.7,1442.7,13,1442.525,1443.2,1442.7,1442.7,1442.8,10,1441.95,1,1.5,26.40600736,64.00462963,2.36489816,1,34.10802111,0.138241758,1,41.82476677,0,0.21,6912,34.10802111,0.672727273,1,47.91866017,40,0,58.67478128,4500,0,50.74038375,-23.94366197,1.056886228,1,-7.627980899,0.873597801,0,35.33464677,Friday
0,R1 Sell,1437.2,1436.8,1437.2,1436.9,13,1436.7,1437,1436.7,1436.7,1437,7,1436.45,1437.3,1436.8,1436.8,1437.3,5,1436.15,0,-5.9,-10.09438009,-52.20390128,1.569442839,1,39.80173206,-0.503736264,0,33.91658952,0,-0.287,6846,39.80173206,-0.619047619,0,39.37613624,0,1,22.27259932,50000,1,43.99671805,-81.33333333,0.614814815,1,-32.44867939,0.486990916,0,39.120914,Friday
0,R1 Sell,1436.7,1436.7,1436.7,1436.7,2,1436.225,1436,1436,1436,1436,1,1436.25,1436.3,1436.3,1436.3,1436.3,2,1436.475,1,-0.9,-41.31205674,35.97025017,1.121540237,1,39.70824752,-0.011868132,0,38.05624119,0,-0.407,6812,39.70824752,0.028571429,1,28.80003611,10,1,64.21216022,70000,1,43.8923448,-33.33333333,0.785714286,1,-21.93177531,1,0,37.97800995,Friday
0,R1 Sell,1436.4,1435.7,1435.7,1436.4,5,1436.125,1436.4,1436.1,1436.4,1436.1,2,1436.35,1436.7,1436.7,1436.7,1436.7,2,1436.225,1,0.4,-35.79545455,-78.95878525,1.056838266,1,39.25000057,-0.068791209,1,37.7902172,0,-0.491,6815,39.25000057,-0.268292683,1,25.61210892,10,1,61.92099378,74500,1,42.48603936,-56.25,0.890243902,1,-18.67851265,0.961214173,0,39.67529104,Friday
0,R1 Sell,1438.9,1438.8,1438.9,1438.8,2,1438.575,1438.6,1438.5,1438.6,1438.5,2,1438.225,1438.5,1438.5,1438.5,1438.5,2,1437.95,1,-2.3,-20.35225049,-14.6317472,0.973502723,1,18.16891382,-0.196703297,0,50.95706834,0,-0.239,10580,18.16891382,0.020408163,1,52.304792,0,0,32.26042785,44500,1,53.59258573,-60,0.792682927,1,-1.562785292,0.502472819,1,21.11524047,Monday
1,R1 Sell,1443.4,1442.6,1442.9,1442.8,52,1442.45,1443,1442.6,1442.6,1442.6,10,1442.275,1443.7,1442.8,1443.6,1443,20,1442,1,0.3,-9.272030651,102.1362354,0.763886703,0,35.20226987,0.106593407,1,61.82758997,1,0.26,10640,35.20226987,0.6,0,69.24751792,80,0,41.19090003,153000,0,60.07444953,-31.03448276,1.151162791,0,28.48900929,0.491691321,0,36.65212872,Monday
0,R1 Sell,1440,1439.4,1439.9,1439.4,35,1439.225,1439.9,1439.2,1439.2,1439.9,3,1439.075,1439.5,1439.4,1439.5,1439.4,3,1439.025,1,0.3,-64.70588235,114.3631436,0.693535088,0,32.02183436,0.053406593,1,56.76503443,0,0.348,7139,32.02183436,0.575757576,0,60.5900806,100,0,46.09203865,91500,0,56.2367058,-37.5,0.944444444,0,19.0717159,0.401984597,1,38.10583317,Tuesday
