Profit,Entry Name,H1,L1,O1,C1,V1,HiLo1,H2,L2,O2,C2,V2,HiLo2,H3,L3,O3,C3,V3,HiLo3,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
0,R1 Buy,9972,9963,9964,9965,322,9967.75,9965,9960,9960,9964,43,9968.25,9965,9955,9959,9961,114,9969,1,-10,-41.2631742,-32.32484076,9.618167793,0,10.02263044,-1.127472527,1,50.32949048,0,0.044,23794,10.02263044,-0.212121212,1,46.58595721,0,1,48.6289698,31500,0,46.93355831,-56.52173913,0.855421687,0,-10.23270515,0.451496273,0,16.1589342,Thursday
1,R1 Buy,9964,9951,9962,9958,412,9967.5,9970,9960,9967,9964,256,9967.5,9970,9962,9967,9964,154,9966,0,-11,1.24225886,-186.2602806,7.158739122,0,12.16036113,-0.415384615,0,40.46109859,1,-0.141,24181,12.16036113,-0.379310345,1,50.28273847,90,1,59.35530501,101500,0,39.73866944,-63.15789474,0.824175824,0,-24.19692209,0,0,17.17032152,Thursday
0,R1 Buy,10008,9987,9991,10004,239,10006,10003,9987,10002,9991,549,10008,10005,9992,9999,10004,386,10012.75,0,-16,0.222073317,-105.1051051,10.67904952,0,18.57164056,-1.802197802,1,48.11865929,1,-0.181,34017,18.57164056,-0.433962264,1,64.22017044,40,1,54.42491778,110000,0,42.75171375,-56.41025641,0.780487805,1,-18.88895602,0.303225928,0,24.64792504,Friday
0,R1 Buy,9924,9918,9922,9919,132,9925,9923,9917,9918,9923,159,9927.5,9923,9918,9921,9919,119,9931,0,-31,39.62541441,-90.74074074,13.73401396,0,17.70974004,-4.206593407,1,44.95377364,0,-0.457,25278,17.70974004,-0.953488372,0,55.48416194,0,1,38.33190361,31500,0,45.76433177,-96.875,0.829545455,1,-23.92359171,0.010237228,0,25.19460214,Monday
1,R1 Buy,9945,9932,9945,9940,202,9949,9947,9929,9930,9944,201,9952.5,9949,9927,9948,9928,364,9957.75,0,11,9.073926101,-43.86381631,13.83309908,1,17.49378399,0.265934066,1,50.54445528,1,-0.027,25031,17.49378399,-0.298245614,1,67.03209433,40,1,53.99688962,114500,0,45.82948689,-57.89473684,1.029535865,1,-4.13925895,0.261562445,0,17.93366534,Monday
0,R1 Buy,9962,9957,9960,9960,77,9964,9964,9959,9959,9961,90,9966.75,9969,9960,9962,9960,129,9968.75,0,32,2.151991056,15.94059406,11.79652196,1,16.91981807,1.149450549,0,55.20215511,0,0.132,25245,16.91981807,0.166666667,0,65.0525531,60,1,50.54093231,144500,1,55.06609577,-29.54545455,1.173652695,1,8.294669307,0.395230239,0,22.75000052,Monday
1,R1 Buy,9968,9954,9966,9957,183,9968.75,9969,9961,9966,9964,89,9959.75,9970,9960,9967,9966,155,9959.25,0,2,-15.12630265,-92.81045752,11.37433527,1,17.64996894,-0.241758242,0,51.62800843,0,-0.019,25195,17.64996894,0,1,58.7889016,20,1,72.91424217,154500,0,54.17392765,-80,1.03649635,1,2.864714951,0,0,21.26680425,Monday
1,R1 Buy,9981,9975,9975,9981,21,9992.75,9988,9975,9988,9975,55,9996.25,9997,9984,9992,9987,88,9978.75,1,21,-1.543906242,35.64173592,12.39341634,1,23.51772204,1.942857143,0,57.1487629,1,0.314,25631,23.51772204,0.419354839,0,63.52399933,70,1,46.93563677,4500,1,49.42341072,-47.05882353,1.096590909,1,13.42043134,0.313482664,1,23.60554022,Tuesday
1,R1 Buy,10052,10047,10049,10048,48,10050.25,10049,10045,10047,10047,75,10051.25,10050,10047,10047,10048,14,10054.5,0,24,0.252943628,47.59326113,8.401119709,1,55.69232917,1.738461538,0,71.67822873,0,0.346,27025,55.69232917,0.631578947,0,79.81349175,50,0,39.29125404,63000,1,63.0195079,-35.8974359,1.372727273,1,41.82929801,0.05690845,0,53.05380162,Tuesday
1,R1 Buy,10074,10065,10073,10070,573,10072.75,10074,10062,10066,10074,516,10075.25,10071,10056,10068,10066,516,10076.5,0,16,11.57643562,47.72727273,9.73538234,1,52.81022623,0.848351648,1,64.26304165,1,0.04,27210,52.81022623,0.028571429,1,68.10493444,60,0,54.75950996,101500,1,65.3250557,-42.42424242,1.128571429,0,20.1453734,0.012100906,0,57.16930203,Tuesday
