Profit,Entry Name,H1,L1,O1,C1,V1,HiLo1,H2,L2,O2,C2,V2,HiLo2,H3,L3,O3,C3,V3,HiLo3,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
1,R1 Buy,110.796875,110.765625,110.765625,110.78125,3033,110.8242188,110.8125,110.765625,110.8125,110.765625,4331,110.8515625,110.828125,110.78125,110.8125,110.8125,8893,110.8867188,0,-0.203125,-20.32627849,-116.8275862,0.064167382,0,45.86618852,-0.019745879,1,40.65422162,0,-0.44,506839,45.86618852,-1,0,48.74679623,0,1,39.33175893,221500,0,35.09190122,-94.11764706,0.729166667,1,-50.50063775,0.066870606,0,60.93483519,Friday
0,R1 Buy,111.015625,111,111.015625,111,157,111.0117188,111,111,111,111,266,111.0117188,111.015625,110.984375,110.984375,111.015625,147,111.0273438,0,0.0625,-1.148166863,23.72881356,0.044697073,1,42.09626026,0.003125,0,57.88782487,0,0.23,510947,42.09626026,0.333333333,0,58.39852608,50,0,48.79978445,41500,0,52.65090966,-50,1.103448276,1,13.0017909,0,0,42.14835401,Monday
0,R1 Buy,111.015625,110.96875,110.984375,111,212,111.0117188,111.015625,110.984375,111.015625,110.984375,302,111.0078125,111.015625,110.984375,111,111.015625,210,110.9921875,0,-0.015625,13.52380952,-114.0740741,0.03388378,0,35.93761177,-0.000892857,0,54.6599815,0,0.008,511135,35.93761177,-0.333333333,1,61.40589569,100,1,69.94265224,63000,0,50.70827068,-33.33333333,0.842105263,0,-0.135344454,0.298416042,0,37.74397114,Monday
1,R1 Sell,110.75,110.6875,110.6875,110.734375,3111,110.6875,110.734375,110.6875,110.6875,110.703125,2897,110.671875,110.75,110.703125,110.71875,110.703125,5070,110.6523438,1,0.0625,-0.63280861,133.5689046,0.046402243,0,30.20999084,0.007074176,0,58.93395838,1,0.194,502364,30.20999084,0.454545455,0,35.55114638,100,0,61.81816518,101500,0,50.34724815,-11.11111111,1.043478261,0,33.58946917,1,0,40.68947732,Tuesday
0,R1 Sell,110.671875,110.625,110.625,110.625,3009,110.609375,110.640625,110.609375,110.625,110.640625,3632,110.609375,110.640625,110.59375,110.625,110.625,2484,110.6015625,1,-0.09375,-31.18214334,-11.77052423,0.047297137,1,18.60822149,-0.006043956,0,44.88024225,1,-0.213,474185,18.60822149,-0.066666667,1,41.74482924,0,0,50.08439283,130000,1,40.61703592,-66.66666667,0.933333333,1,-6.099078074,0.41956032,0,26.39161468,Tuesday
0,R1 Buy,110.875,110.84375,110.875,110.84375,1700,110.875,110.875,110.84375,110.84375,110.859375,1611,110.890625,110.859375,110.828125,110.859375,110.84375,2657,110.9023438,0,-0.046875,-18.95808506,-110.2819237,0.054389714,1,15.39170453,-0.003331044,1,49.74337597,0,0.023,553323,15.39170453,-0.428571429,0,53.55508248,30,1,64.59685711,230000,0,58.75041532,-87.5,1.045454545,1,-13.69806173,0,0,19.67486618,Tuesday
1,R1 Buy,110.796875,110.765625,110.78125,110.78125,1238,110.8320313,110.8125,110.75,110.8125,110.796875,4185,110.8554688,110.828125,110.796875,110.8125,110.828125,1949,110.8710938,0,-0.015625,17.61701188,-123.8095238,0.033081644,1,17.23827855,-0.000343407,0,38.67284954,1,-0.318,548998,17.23827855,-0.384615385,1,50.77601411,70,1,41.62896639,90000,0,50.73477257,-77.77777778,0.888888889,1,-28.45680966,0,0,23.8446763,Wednesday
1,R1 Buy,110.84375,110.796875,110.828125,110.84375,4761,110.8632813,110.859375,110.796875,110.828125,110.828125,3860,110.8828125,110.828125,110.78125,110.8125,110.828125,11559,110.8945313,0,0.015625,27.82979955,-48.7394958,0.05085989,1,16.35045264,0.000343407,1,48.37289671,1,-0.042,584990,16.35045264,-0.125,1,61.53933368,10,1,52.52990701,120000,0,54.21001582,-57.14285714,0.946428571,1,-10.90745551,0.372848707,0,21.19178177,Wednesday
0,R1 Buy,110.921875,110.84375,110.890625,110.90625,25690,110.9335938,110.921875,110.859375,110.921875,110.890625,15504,110.9570313,110.953125,110.90625,110.921875,110.921875,12565,110.9882813,0,0.09375,11.34758248,-16.37426901,0.058687435,1,16.41258138,0.006833791,0,51.99883616,1,-0.066,619107,16.41258138,0.047619048,1,60.30000604,50,1,44.49012259,144500,0,50.93051383,-52.94117647,1.072727273,1,-0.221579349,0.281454934,0,22.40569545,Wednesday
0,R1 Sell,110.6875,110.671875,110.671875,110.671875,602,110.6601563,110.6875,110.671875,110.671875,110.671875,412,110.6523438,110.65625,110.65625,110.65625,110.65625,268,110.6367188,1,0.015625,-22.55489022,150.656168,0.028360323,1,12.64331008,0.001785714,0,54.54426266,0,0,506455,12.64331008,0.428571429,1,40.51587302,100,0,56.14143067,80000,0,55.07927638,-20,1.045454545,1,21.74448187,1,0,18.20665652,Thursday
